Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
12.195, 1.234680819445829, 0.19, -0.2239296110215429, -47.92093675861018, 268, 164, 0.0001012448396429544, 21, 32
12.299, 1.245432047638114, 0.21, -0.2039296110215429, -43.64093675861018, 257, 164, 0.0001012628707730802, 21, 12
12.399, 1.255450237544561, 0.21, -0.2039296110215429, -43.64093675861018, 257, 162, 0.0001012541525562191, 21, 3
12.496, 1.265468427451008, 0.22, -0.1939296110215429, -41.50093675861018, 264, 175, 0.0001012698805578592, 21, 21
12.598, 1.275975309548015, 0.2, -0.2139296110215429, -45.78093675861019, 254, 171, 0.000101283958528974, 21, 17
12.692, 1.285504807263903, 0.2, -0.2139296110215429, -45.78093675861019, 258, 153, 0.0001012846523214547, 21, 20
12.795, 1.296011689360909, 0.19, -0.2239296110215429, -47.92093675861018, 255, 171, 0.0001012904798250027, 21, 22
12.893, 1.306274225362636, 0.21, -0.2039296110215429, -43.64093675861018, 266, 164, 0.0001013165458281731, 21, 13
12.989, 1.316048069173804, 0.18, -0.2339296110215429, -50.06093675861019, 255, 165, 0.0001013201993358845, 21, 14
13.091, 1.326310605175531, 0.2, -0.2139296110215429, -45.78093675861019, 253, 152, 0.0001013146898766733, 21, 15
13.196, 1.337306179463095, 0.18, -0.2339296110215429, -50.06093675861019, 259, 174, 0.0001013417838332142, 21, 29
13.298, 1.347813061560101, 0.19, -0.2239296110215429, -47.92093675861018, 252, 155, 0.000101354569225455, 21, 29
13.401, 1.358075597561828, 0.24, -0.1739296110215429, -37.22093675861018, 254, 155, 0.0001013413624029422, 21, 5
13.503, 1.368582479658834, 0.2, -0.2139296110215429, -45.78093675861019, 244, 174, 0.000101353956873201, 21, 30
13.603, 1.378600669565281, 0.23, -0.1839296110215429, -39.36093675861018, 256, 157, 0.0001013453407017041, 21, 22
13.702, 1.388863205567008, 0.25, -0.1639296110215429, -35.08093675861018, 262, 182, 0.0001013620789349736, 21, 32
13.802, 1.399370087664013, 0.25, -0.1639296110215429, -35.08093675861018, 247, 169, 0.0001013889354922485, 21, 24
13.899, 1.409388277570461, 0.23, -0.1839296110215429, -39.36093675861018, 263, 173, 0.0001014021352306253, 21, 18
14.009, 1.420628197953304, 0.17, -0.2439296110215428, -52.20093675861019, 260, 165, 0.0001014082516920054, 21, 9
14.105, 1.430402041764473, 0.19, -0.2239296110215429, -47.92093675861018, 257, 146, 0.0001014109919719584, 21, 17
14.206, 1.440908923861478, 0.16, -0.2539296110215429, -54.34093675861018, 250, 162, 0.0001014296018486188, 21, 22
