Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
5.748, 0.4400673175978503, 0.09, -0.3308614648453401, -69.48090761752143, 224, 89, 7.656007613045412e-05, 23, 10
5.792, 0.4434881629317592, 0.08, -0.3408614648453401, -71.58090761752144, 233, 91, 7.656908890396394e-05, 23, 11
5.83, 0.4466646621703888, 0.08, -0.3408614648453401, -71.58090761752144, 236, 95, 7.661486486627594e-05, 23, 6
5.869, 0.4498411614090185, 0.08, -0.3408614648453401, -71.58090761752144, 237, 78, 7.664698609797554e-05, 23, 21
5.905, 0.4522846223618106, 0.08, -0.3408614648453401, -71.58090761752144, 223, 91, 7.659350082333793e-05, 23, 22
5.942, 0.455216775505161, 0.09, -0.3308614648453401, -69.48090761752143, 234, 91, 7.661002617050842e-05, 23, 13
5.979, 0.4583932747437907, 0.09, -0.3308614648453401, -69.48090761752143, 239, 90, 7.666721437427507e-05, 23, 6
6.018, 0.4613254278871412, 0.09, -0.3308614648453401, -69.48090761752143, 224, 91, 7.665759851896663e-05, 23, 15
6.055, 0.4640132349352125, 0.09, -0.3308614648453401, -69.48090761752143, 222, 90, 7.6633069353462e-05, 23, 3
6.092, 0.4671897341738421, 0.1, -0.3208614648453401, -67.38090761752144, 243, 91, 7.66890568243339e-05, 23, 22
6.132, 0.4701218873171926, 0.13, -0.2908614648453401, -61.08090761752143, 225, 80, 7.666697444833538e-05, 23, 25
6.167, 0.4730540404605431, 0.13, -0.2908614648453401, -61.08090761752143, 218, 100, 7.670731967902434e-05, 23, 26
6.202, 0.4754975014133351, 0.14, -0.2808614648453402, -58.98090761752144, 213, 102, 7.66684136429112e-05, 23, 10
6.242, 0.4786740006519647, 0.15, -0.2708614648453401, -56.88090761752143, 211, 93, 7.66859981819873e-05, 23, 12
6.277, 0.4813618077000361, 0.14, -0.2808614648453402, -58.98090761752144, 217, 103, 7.668660310658534e-05, 23, 14
6.315, 0.4845383069386658, 0.14, -0.2808614648453402, -58.98090761752144, 225, 107, 7.672815628482434e-05, 23, 16
6.353, 0.4874704600820162, 0.13, -0.2908614648453401, -61.08090761752143, 223, 99, 7.673075083929108e-05, 23, 15
6.392, 0.4906469593206459, 0.12, -0.3008614648453401, -63.18090761752143, 216, 105, 7.675953681486951e-05, 23, 15
6.431, 0.4935791124639963, 0.11, -0.3108614648453401, -65.28090761752143, 220, 91, 7.674997861358985e-05, 23, 14
6.473, 0.4965112656073469, 0.1, -0.3208614648453401, -67.38090761752144, 220, 95, 7.670496919625319e-05, 23, 4
6.508, 0.4991990726554181, 0.1, -0.3208614648453401, -67.38090761752144, 233, 97, 7.670545062314353e-05, 23, 17
6.547, 0.502619917989327, 0.09, -0.3308614648453401, -69.48090761752143, 231, 85, 7.677102764461998e-05, 23, 15
6.586, 0.5055520711326774, 0.1, -0.3208614648453401, -67.38090761752144, 225, 88, 7.676162634872115e-05, 23, 11
6.622, 0.5082398781807488, 0.08, -0.3408614648453401, -71.58090761752144, 238, 96, 7.675020812152654e-05, 23, 19
6.661, 0.5114163774193785, 0.08, -0.3408614648453401, -71.58090761752144, 226, 93, 7.677771767292876e-05, 23, 6
6.702, 0.5145928766580081, 0.07000000000000001, -0.3508614648453401, -73.68090761752143, 230, 86, 7.678198696777203e-05, 23, 10
6.737, 0.5172806837060794, 0.08, -0.3408614648453401, -71.58090761752144, 229, 80, 7.678205190827954e-05, 23, 8
6.776, 0.5202128368494298, 0.1, -0.3208614648453401, -67.38090761752144, 231, 100, 7.677285077470925e-05, 23, 18
6.815, 0.5233893360880595, 0.11, -0.3108614648453401, -65.28090761752143, 231, 88, 7.67996091105003e-05, 23, 11
6.855, 0.5263214892314101, 0.12, -0.3008614648453401, -63.18090761752143, 226, 85, 7.677921068291904e-05, 23, 9
6.895, 0.5297423345653188, 0.16, -0.2608614648453401, -54.78090761752143, 233, 110, 7.682992524515138e-05, 23, 32
6.934, 0.5329188338039486, 0.19, -0.2308614648453401, -48.48090761752143, 218, 91, 7.68559033464016e-05, 23, 26
6.977, 0.535850986947299, 0.24, -0.1808614648453401, -37.98090761752142, 199, 110, 7.680249203773815e-05, 23, 42
7.018, 0.5392718322812079, 0.29, -0.1308614648453401, -27.48090761752143, 206, 125, 7.684124141937987e-05, 23, 21
7.058, 0.5424483315198376, 0.32, -0.1008614648453401, -21.18090761752143, 195, 119, 7.685581347688264e-05, 23, 16
7.095, 0.5453804846631881, 0.34, -0.08086146484534012, -16.98090761752143, 183, 133, 7.686828536479044e-05, 23, 21
7.137, 0.5485569839018178, 0.38, -0.04086146484534012, -8.580907617521426, 174, 152, 7.686100376934535e-05, 23, 34
7.178, 0.5517334831404474, 0.37, -0.05086146484534013, -10.68090761752143, 168, 149, 7.686451422965275e-05, 23, 8
7.218, 0.5549099823790772, 0.37, -0.05086146484534013, -10.68090761752143, 162, 143, 7.687863430023235e-05, 23, 11
7.256, 0.5575977894271483, 0.35, -0.07086146484534011, -14.88090761752143, 171, 147, 7.684644286482198e-05, 23, 16
7.293, 0.560774288665778, 0.29, -0.1308614648453401, -27.48090761752143, 172, 143, 7.689212788506486e-05, 23, 12
7.336, 0.5639507879044078, 0.23, -0.1908614648453401, -40.08090761752142, 185, 144, 7.687442583211665e-05, 23, 18
7.375, 0.5671272871430374, 0.2, -0.2208614648453401, -46.38090761752143, 201, 128, 7.689861520583557e-05, 23, 29
7.416, 0.5705481324769464, 0.18, -0.2408614648453401, -50.58090761752143, 205, 111, 7.693475357024626e-05, 23, 23
7.453, 0.5732359395250175, 0.19, -0.2308614648453401, -48.48090761752143, 197, 106, 7.691344955387328e-05, 23, 16
7.492, 0.576168092668368, 0.22, -0.2008614648453401, -42.18090761752143, 216, 109, 7.690444376246236e-05, 23, 25
7.531, 0.5791002458117185, 0.29, -0.1308614648453401, -27.48090761752143, 207, 112, 7.689553124574672e-05, 23, 12
7.57, 0.5822767450503483, 0.38, -0.04086146484534012, -8.580907617521426, 194, 128, 7.691898877811734e-05, 23, 30
7.608, 0.5852088981936987, 0.42, -0.000861464845340123, -0.1809076175214258, 187, 145, 7.692020218108553e-05, 23, 17
